Country Name,ISO Code,IEA Name,Aggregate Region
French Polynesia,pyf,Other Asia,Other Asia/Pacific
Gabon,gab,Gabon,Africa
Gambia,gmb,Other Africa,Africa
Georgia,geo,Georgia,Former Soviet Union
Germany,deu,Germany,Europe
Ghana,gha,Ghana,Africa
Gibraltar,gib,Gibraltar,Europe
Global,global,,International
Greece,grc,Greece,Europe
Greenland,grl,,Europe
Grenada,grd,Other Non-OECD Americas,Latin America
Guadeloupe,glp,Other Non-OECD Americas,Latin America
Guam,gum,,Other Asia/Pacific
Guatemala,gtm,Guatemala,Latin America
Guinea,gin,Other Africa,Africa
Guinea-Bissau,gnb,Other Africa,Africa
Guyana,guy,Other Non-OECD Americas,Latin America
Haiti,hti,Haiti,Latin America
Honduras,hnd,Honduras,Latin America
"Hong Kong, China",hkg,"Hong Kong, China",Other Asia/Pacific
Hungary,hun,Hungary,Europe
Iceland,isl,Iceland,Europe
India,ind,India,Other Asia/Pacific
Indonesia,idn,Indonesia,Other Asia/Pacific
Iraq,irq,Iraq,Other Asia/Pacific
Ireland,irl,Ireland,Europe
Ireland,irl,Ireland,Europe
Islamic Republic of Iran,irn,Islamic Republic of Iran,Other Asia/Pacific
Israel,isr,Israel,Other Asia/Pacific
Italy,ita,Italy,Europe
Jamaica,jam,Jamaica,Latin America
Japan,jpn,Japan,Other Asia/Pacific
Jordan,jor,Jordan,Other Asia/Pacific
Kazakhstan,kaz,Kazakhstan,Former Soviet Union
Kenya,ken,Kenya,Africa
Kiribati,kir,Other Asia,Other Asia/Pacific
Kuwait,kwt,Kuwait,Other Asia/Pacific
Kyrgyzstan,kgz,Kyrgyzstan,Former Soviet Union
Laos,lao,Other Asia,Other Asia/Pacific
Latvia,lva,Latvia,Former Soviet Union
Lebanon,lbn,Lebanon,Other Asia/Pacific
Lesotho,lso,Other Africa,Africa
Liberia,lbr,Other Africa,Africa
Libya,lby,Libya,Africa
Liechtenstein,lie,,Europe
Lithuania,ltu,Lithuania,Former Soviet Union
Luxembourg,lux,Luxembourg,Europe
Macao,mac,Other Asia,Other Asia/Pacific
Madagascar,mdg,Other Africa,Africa
Malawi,mwi,Other Africa,Africa
Malaysia,mys,Malaysia,Other Asia/Pacific
Maldives,mdv,Other Asia,Other Asia/Pacific
Mali,mli,Other Africa,Africa
Malta,mlt,Malta,Europe
Marshall Islands,mhl,Other Asia,Other Asia/Pacific
Martinique,mtq,Other Non-OECD Americas,Latin America
Mauritania,mrt,Other Africa,Africa
Mauritius,mus,Mauritius,Africa
Mexico,mex,Mexico,Latin America
Moldova,mda,Moldova,Former Soviet Union
Moldova,mda,Republic of Moldova,Former Soviet Union
Mongolia,mng,Mongolia,Other Asia/Pacific
Montenegro,mne,Montenegro,Other Asia/Pacific
Montserrat,msr,Other Non-OECD Americas,Latin America
Morocco,mar,Morocco,Africa
Mozambique,moz,Mozambique,Africa
Myanmar (Burma),mmr,Myanmar,Other Asia/Pacific
Namibia,nam,Namibia,Africa
Nepal,npl,Nepal,Other Asia/Pacific
Netherlands,nld,Netherlands,Europe
New Caledonia,ncl,Other Asia,Other Asia/Pacific
New Zealand,nzl,New Zealand,Other Asia/Pacific
Nicaragua,nic,Nicaragua,Latin America
Niger,ner,Niger,Africa
Nigeria,nga,Nigeria,Africa
Niue,niu,Other Asia,Other Asia/Pacific
Norway,nor,Norway,Europe
Oman,omn,Oman,Other Asia/Pacific
Pakistan,pak,Pakistan,Other Asia/Pacific
Palau,plw,Other Asia,Other Asia/Pacific
Palestine,pse,,Other Asia/Pacific
Panama,pan,Panama,Latin America
Papua New Guinea,png,Other Asia,Other Asia/Pacific
Paraguay,pry,Paraguay,Latin America
Peru,per,Peru,Latin America
Philippines,phl,Philippines,Other Asia/Pacific
Poland,pol,Poland,Europe
Portugal,prt,Portugal,Europe
Puerto Rico,pri,Other Non-OECD Americas,North America
Qatar,qat,Qatar,Other Asia/Pacific
Republic of Korea,kor,Korea,Other Asia/Pacific
Reunion,reu,Other Africa,Africa
Romania,rou,Romania,Europe
Russia,rus,Russian Federation,Former Soviet Union
Rwanda,rwa,Other Africa,Africa
Saint Kitts and Nevis,kna,Other Non-OECD Americas,Latin America
Saint Lucia,lca,Other Non-OECD Americas,Latin America
Saint Pierre and Miquelon,spm,Other Non-OECD Americas,Latin America
Saint Vincent And Grenadines,vct,Other Non-OECD Americas,Latin America
Samoa,wsm,Other Asia,Other Asia/Pacific
Sao Tome and Principe,stp,Other Africa,Africa
Saudi Arabia,sau,Saudi Arabia,Other Asia/Pacific
Senegal,sen,Senegal,Africa
Serbia,srb,Serbia,Europe
Seychelles,syc,Other Africa,Africa
Sierra Leone,sle,Other Africa,Africa
Singapore,sgp,Singapore,Other Asia/Pacific
Sint Maarten,sxm,Other Non-OECD Americas,Latin America
Slovakia,svk,Slovak Republic,Europe
Slovenia,svn,Slovenia,Europe
Soloman Islands,slb,Other Asia,Other Asia/Pacific
Somalia,som,Other Africa,Africa
South Africa,zaf,South Africa,Africa
South Sudan,ssd,South Sudan,Africa
Spain,esp,Spain,Europe
Sri Lanka,lka,Sri Lanka,Other Asia/Pacific
Sudan,sdn,Sudan,Africa
Suriname,sur,Other Non-OECD Americas,Latin America
Swaziland,swz,Other Africa,Africa
Sweden,swe,Sweden,Europe
Switzerland,che,Switzerland,Europe
Syria,syr,Syrian Arab Republic,Other Asia/Pacific
Tajikistan,tjk,Tajikistan,Former Soviet Union
Tanzania,tza,Tanzania,Africa
Tanzania,tza,United Republic of Tanzania,Africa
Thailand,tha,Thailand,Other Asia/Pacific
Timor-Leste,tls,Other Asia,Other Asia/Pacific
Togo,tgo,Togo,Africa
Tokelau,tkl,Other Asia,Other Asia/Pacific
Tongo,ton,Other Asia,Other Asia/Pacific
Trinidad and Tobago,tto,Trinidad and Tobago,Latin America
Tunisia,tun,Tunisia,Africa
Turkey,tur,Turkey,Europe
Turkmenistan,tkm,Turkmenistan,Former Soviet Union
Turks and Caicos Islands,tca,Other Non-OECD Americas,Latin America
Uganda,uga,Other Africa,Africa
Ukraine,ukr,Ukraine,Former Soviet Union
United Arab Emirates,are,United Arab Emirates,Other Asia/Pacific
United Kingdom,gbr,United Kingdom,Europe
United States,usa,United States,North America
United States Virgin Islands,vir,Other Non-OECD Americas,Latin America
Uruguay,ury,Uruguay,Latin America
Uzbekistan,uzb,Uzbekistan,Former Soviet Union
Vanuatu,vut,Other Asia,Other Asia/Pacific
Venezuela,ven,Venezuela,Latin America
Vietnam,vnm,Viet Nam,Other Asia/Pacific
Vietnam,vnm,Vietnam,Other Asia/Pacific
Wallis and Futuna Islands,wlf,Other Asia,Other Asia/Pacific
Western Sahara,esh,Other Africa,Africa
Yemen,yem,Yemen,Other Asia/Pacific
Zambia,zmb,Zambia,Africa
Zimbabwe,zwe,Zimbabwe,Africa
